Date,Region,total_streams
2017-01-01,ar,7888872
2017-01-01,at,619064
2017-01-01,au,5377778
2017-01-01,be,960050
2017-01-01,bo,143334
2017-01-01,br,14106266
2017-01-01,ca,6605431
2017-01-01,ch,790758
2017-01-01,cl,4993454
2017-01-01,co,1554875
2017-01-01,cr,796717
2017-01-01,cz,287765
2017-01-01,de,11751819
2017-01-01,dk,2676135
2017-01-01,do,300570
2017-01-01,ec,645337
2017-01-01,ee,24405
2017-01-01,es,6020628
2017-01-01,fi,2264716
2017-01-01,fr,5943050
2017-01-01,gb,11704840
2017-01-01,global,148613167
2017-01-01,gr,59509
2017-01-01,gt,293287
2017-01-01,hk,597286
2017-01-01,hn,187379
2017-01-01,hu,203462
2017-01-01,id,1808206
2017-01-01,ie,1022261
2017-01-01,is,58313
2017-01-01,it,2756117
2017-01-01,jp,234124
2017-01-01,lt,40889
2017-01-01,lu,1020
2017-01-01,lv,23815
2017-01-01,mx,14430216
2017-01-01,my,1215230
2017-01-01,nl,4818086
2017-01-01,no,3318375
2017-01-01,nz,1539267
2017-01-01,pa,274512
2017-01-01,pe,1528236
2017-01-01,ph,6636242
2017-01-01,pl,1345799
2017-01-01,pt,598247
2017-01-01,py,249569
2017-01-01,se,5734852
2017-01-01,sg,1320202
2017-01-01,sk,25068
2017-01-01,sv,151425
2017-01-01,tr,1573720
2017-01-01,tw,875278
2017-01-01,us,55139058
2017-01-01,uy,558511
2017-01-02,ar,6010041
2017-01-02,at,718392
2017-01-02,au,6390078
2017-01-02,be,1100718
2017-01-02,bo,108008
2017-01-02,br,13788523
2017-01-02,ca,5580268
2017-01-02,ch,921079
2017-01-02,cl,3822122
2017-01-02,co,1622338
2017-01-02,cr,762841
2017-01-02,cz,432458
2017-01-02,de,12819886
2017-01-02,dk,3337493
2017-01-02,do,288621
2017-01-02,ec,600933
2017-01-02,ee,45974
2017-01-02,es,7741901
2017-01-02,fi,2705619
2017-01-02,fr,6280248
2017-01-02,gb,13417206
2017-01-02,global,154810836
2017-01-02,gr,75888
2017-01-02,gt,278023
2017-01-02,hk,672654
2017-01-02,hn,151683
2017-01-02,hu,293759
2017-01-02,id,2112585
2017-01-02,ie,1145144
2017-01-02,is,83596
2017-01-02,it,3854799
2017-01-02,jp,270280
2017-01-02,lt,76388
2017-01-02,lu,3523
2017-01-02,lv,59342
2017-01-02,mx,12967072
2017-01-02,my,1293210
2017-01-02,nl,6301403
2017-01-02,no,3864007
2017-01-02,nz,1642122
2017-01-02,pa,192568
2017-01-02,pe,1528259
2017-01-02,ph,7663656
2017-01-02,pl,1538963
2017-01-02,pt,955589
2017-01-02,py,275764
2017-01-02,se,7095839
2017-01-02,sg,1457589
2017-01-02,sk,53821
2017-01-02,sv,138698
2017-01-02,tr,1794738
2017-01-02,tw,1039239
2017-01-02,us,48894824
2017-01-02,uy,502696
2017-01-03,ar,5921907
2017-01-03,at,728270
2017-01-03,au,6649084
2017-01-03,be,1129589
