Position,Track Name,Artist,Streams,URL,Date,Region
1,Reggaetón Lento (Bailemos),CNCO,19272,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,2017-01-01,ec
2,Chantaje,Shakira,19270,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,ec
3,Otra Vez (feat. J Balvin),Zion & Lennox,15761,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,2017-01-01,ec
4,Vente Pa' Ca,Ricky Martin,14954,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,2017-01-01,ec
5,Safari,J Balvin,14269,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,2017-01-01,ec
6,La Bicicleta,Carlos Vives,12843,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,2017-01-01,ec
7,Ay Mi Dios,IAmChino,10986,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2017-01-01,ec
8,Andas En Mi Cabeza,Chino & Nacho,10653,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,2017-01-01,ec
9,Traicionera,Sebastian Yatra,9807,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,2017-01-01,ec
10,Shaky Shaky,Daddy Yankee,9612,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,2017-01-01,ec
11,Vacaciones,Wisin,9611,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,2017-01-01,ec
12,Dile Que Tu Me Quieres,Ozuna,8982,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,2017-01-01,ec
13,Let Me Love You,DJ Snake,8834,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,ec
14,DUELE EL CORAZON,Enrique Iglesias,8309,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,2017-01-01,ec
15,Chillax,Farruko,7822,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES,2017-01-01,ec
16,Borro Cassette,Maluma,7586,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,2017-01-01,ec
17,One Dance,Drake,7472,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,ec
18,Closer,The Chainsmokers,7416,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,ec
19,Starboy,The Weeknd,7006,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,ec
20,Desde Esa Noche,Thalía,6779,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E,2017-01-01,ec
21,Don't Wanna Know,Maroon 5,6582,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,ec
22,La Gozadera,Gente De Zona,6521,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,2017-01-01,ec
23,24K Magic,Bruno Mars,6261,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,ec
24,Me Llamas (feat. Maluma) - Remix,Piso 21,6237,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,2017-01-01,ec
25,Cuatro Babys,Maluma,6028,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,2017-01-01,ec
26,My Way,Calvin Harris,5723,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-01,ec
27,Gyal You A Party Animal,Charly Black,5601,https://open.spotify.com/track/1mSzZKMIPZIkn3jFV7v62b,2017-01-01,ec
28,Baila Conmigo,Juan Magán,5586,https://open.spotify.com/track/772io14jrMTxGJbijtDccQ,2017-01-01,ec
29,Gyal You A Party Animal - Remix,Charly Black,5541,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I,2017-01-01,ec
30,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,5362,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,2017-01-01,ec
31,Por Fin Te Encontré,Cali Y El Dandee,5259,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM,2017-01-01,ec
32,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,5198,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-01-01,ec
33,Bailame Despacio,Xantos,5160,https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu,2017-01-01,ec
34,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,5025,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,2017-01-01,ec
